Track,Artist,Genres
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,k-pop
I'm Good (Blue),David Guetta,"edm, dance"
Daylight,David Kushner,"alternative pop, pop"
My Love Mine All Mine,Mitski,"indie pop, indie rock, alternative"
Please Please Please,Sabrina Carpenter,"synth-pop, pop"
Houdini,Dua Lipa,pop
Danza Kuduro - Cover,MUSIC LAB JPN,"pop, latin, reggaeton, dance"
If We Ever Broke Up,Mae Stephens,"alternative pop, pop"
Despacito,Luis Fonsi,"latin, reggaeton"
euphoria,Kendrick Lamar,"west coast hip hop, hip hop"
Panda Basi,Mvua,"bongo flava, afrobeat, afropop"
Calm Down (with Selena Gomez),Rema,"afrobeat, afropop, afrobeats, pop, afropiano"
Shape of You,Ed Sheeran,soft pop
Mitu,Maian,"latin, reggaeton, tropical, pop"
Blinding Lights,The Weeknd,"pop, r&b, synth-pop, darkwave"
Creepin' (with The Weeknd & 21 Savage),Metro Boomin,"trap, r&b, hip hop"
Dona Felicidade,Patati Patatï¿,"lullaby, children's music"
Danza Kuduro - Cover,MUSIC LAB JPN,"latin, reggaeton, dancehall"
Unholy (feat. Kim Petras),Sam Smith,soft pop
Stereo Love - Melodic,Edward Maya,"eurodance, romanian dance, electronic, house"
Very Cute Melody by Marimba Tone (39813),mitsu sound,dark trap
Supernova,aespa,k-pop
Me Porto Bonito,Bad Bunny,"trap latino, urbano latino, latin, reggaeton"
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),JUVENILE,"hip hop, crunk, rap, southern hip hop, bounce"
Calm Down,Rema,"afropiano, afrobeats, afrobeat, afropop"
CARNIVAL,ýý$,"g-house, electro house, tech house, bass house"
Kill Bill,SZA,r&b
"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,"indie pop, alternative pop, pop"
Babba,Guy Mac,tech house
Heat Waves,Glass Animals,"indie pop, psychedelic pop, alternative r&b"
In the End,Linkin Park,"nu metal, rap metal, rock, alternative metal"
"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,"trap latino, urbano latino, argentine trap, latin pop"
The Way We Move - Extended Mix,PowerDress,nu disco
Old Town Road,Lil Nas X,"country rap, country, hip hop, trap"
un x100to,Grupo Frontera,"corridos bélicos, trap latino, urbano latino, tejano, grupera, corridos tumbados, corrido, norteño, banda, reggaeton, cumbia norteña, latin, música mexicana"
Laxed ï¿½ï¿½ï¿½ Sire,Jawsh 685,"melodic dubstep, chillwave, tropical house"
Sprinter,Dave,"drill, uk drill, grime"
CHIHIRO,Billie Eilish,"alternative pop, dark pop"
TQG,KAROL G,"urbano latino, latin, reggaeton, latin pop"
Perfect,Ed Sheeran,soft pop
Pepas,Farruko,"trap latino, latin, reggaeton"
Peekaboo,Dave Angel,"acid house, acid techno"
Ella Baila Sola,Eslabon Armado,"corridos bélicos, sierreño, corridos tumbados, corrido, banda, sad sierreño, electro corridos, música mexicana"
Dance The Night - From Barbie The Album,Dua Lipa,pop
La Bebe - Remix,Yng Lvcas,"corridos bélicos, corrido, reggaeton mexa, reggaeton, electro corridos, sad sierreño, banda, música mexicana, corridos tumbados"
redrum,21 Savage,"trap, hip hop"
Easy On Me,Adele,soft pop
Titï¿½ï¿½ Me Pregu,Bad Bunny,"boom bap, jazz rap, alternative hip hop, experimental hip hop"
All My Life (feat. J. Cole),Lil Durk,"drill, rap"
Anti-Hero,Taylor Swift,"alternative pop, pop"
"Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,"trap latino, urbano latino, reggaeton, argentine trap"
Magnetic,ILLIT,k-pop
Lollipop,Darell,"trap latino, urbano latino, reggaeton, dembow"
La Diabla,Xavi,"corridos bélicos, corridos tumbados, corrido, banda, sad sierreño, música mexicana"
Boy's a Liar Pt. 2,PinkPantheress,bedroom pop
Snooze,SZA,r&b
BELLAKEO,Peso Pluma,"corridos bélicos, pagode baiano, funk, corridos tumbados, corrido, brazilian pop, banda, sad sierreño, electro corridos, funk carioca, música mexicana, funk pop"
Agora Hills,Doja Cat,"r&b, hip hop, pop"
Prada,cassï¿,"pop, electronic, synth-pop, hyperpop"
Montagem Rave Eterno,Dj Samir,"hypertechno, brazilian phonk, phonk"
Lil Boo Thang,Paul Russell,"trap, r&b, hip hop"
MONACO,Bad Bunny,"trap latino, urbano latino, latin, reggaeton"
Laxed (Siren Beat),Jawsh 685,"melodic dubstep, electronic, tropical house, pop"
(It Goes Like) Nanana - Edit,Peggy Gou,"house, electronic, tech house"
Training Season,Dua Lipa,pop
Type Shit,Future,"rage rap, rap"
Armageddon,aespa,k-pop
The Box,Roddy Ricch,melodic rap
INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,"trap, pop rap, hip hop, pop"
Pedro,Jaxomy,"latin pop, pop"
Fast Car,Luke Combs,country
Bling-Bang-Bang-Born,Creepy Nuts,"j-pop, j-rap, anime"
Aesthetic,Tollan Kim,"k-pop, synth-pop, electronic, pop"
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,"trap, hip hop, pop"
Hands,Dianï¿½,"synthwave, electropop, synth-pop"
Saturn,SZA,r&b
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas,"lullaby, children's music"
Believer,Imagine Dragons,"alternative rock, arena rock, pop rock"
WAIT FOR U (feat. Drake & Tems),Future,"alté, hip hop, afrobeat, rap, afrobeats"
I KNOW ?,Travis Scott,rap
ANDO,Jere Klein,"rkt, mambo, chilean trap, chilean mambo, reggaeton chileno"
First Class,Jack Harlow,"trap, hip hop, pop"
FE!N,Travis Scott,"rage rap, rap"
Save Your Tears - Live,The Weeknd,"r&b, synth-pop, pop"
Losing Interest - Original Mix,Goovex,lo-fi
I Ain't Worried,OneRepublic,soft pop
MI EX TENï¿½ï¿½A RA,KAROL G,"trap latino, reggaeton, trap"
Drained of Color,Exhumed,"death metal, grindcore"
Mood (feat. iann dior),24kGoldn,melodic rap
Dynamite,BTS,k-pop
Looking Like a Wow End of Year 2023,WasteLand,"trap, hip hop"
Someone You Loved,Lewis Capaldi,soft pop
Acrï¿½ï¿½s,Shakira,"reggaeton, melodic rap"
Made You Look,Meghan Trainor,"r&b, doo-wop, pop"
PHONK BRASILEIRO FRESCO (Slowed + Reverb),DJ MOIGUS,"brazilian phonk, phonk"
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,"kannada pop, tamil dance, bollywood, tamil pop, hindi pop, sandalwood, marathi pop, desi, telugu pop, kollywood, tollywood"
vampire,Olivia Rodrigo,"alternative pop, pop"
Casca de Bala,Thullio Milionï¿½ï¿,"forró, piseiro, arrocha"
Back,LOLA,"electronic, synth-pop, pop"
People,Libianca,"afrobeats, afrobeat"
Jedag Jedug Capcut 2024,Afrian Af,funkot
Lady Killers II (Christoph Andersson Remix),G-Eazy,"hip hop, alternative hip hop, rap, experimental hip hop"
I Don't Wanna Wait,David Guetta,"soft pop, edm, dance"
Abc,J Ross,"smooth jazz, musicals"
La Bachata,Manuel Turizo,"latin, reggaeton, colombian pop"
ýýýýýýýýýýýýýýýýýýýýý,FLI:P,singer-songwriter
Peaches (feat. Daniel Caesar & Giveon),Justin Bieber,r&b
Don't Start Now,Dua Lipa,pop
Lucid Dreams,Juice WRLD,"melodic rap, emo rap"
PROVENZA,KAROL G,"urbano latino, latin, reggaeton"
WAP (feat. Megan Thee Stallion),Cardi B,"trap, hip hop, rap"
SPOT!,ZICO,"k-pop, k-rap"
Family Matters,Drake,"hip hop, rap"
Again,Kurochuu,lo-fi
Seven (feat. Latto) (Explicit Ver.),Jung Kook,k-pop
Last Night,Morgan Wallen,country
Too Sweet,Hozier,"blues, gospel, soul, folk"
Bad Habits,Ed Sheeran,soft pop
QLONA,KAROL G,"corridos bélicos, urbano latino, corrido, reggaeton, sad sierreño, electro corridos, banda, latin, música mexicana, corridos tumbados"
Leave The Door Open,Bruno Mars,"pop, r&b, funk, soul"
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),"rally house, breakcore, lo-fi house"
good 4 u,Olivia Rodrigo,"alternative pop, pop punk, pop"
bad guy,Billie Eilish,"electropop, alternative pop, dark pop"
Seï¿½ï¿½o,Shawn Mendes,"soft rock, pop"
DESPECHï¿,ROSALï¿½,latin
ROCKSTAR (feat. Roddy Ricch),DaBaby,melodic rap
Eyes Closed,Ed Sheeran,soft pop
I Remember Everything (feat. Kacey Musgraves),Zach Bryan,"country, red dirt"
Circles,Post Malone,"trap, hip hop, pop"
EL AMOR DE SU VIDA,Grupo Frontera,"corridos bélicos, sierreño, tejano, grupera, corridos tumbados, corrido, norteño, banda, cumbia norteña, música mexicana"
About Damn Time,Lizzo,"funk, r&b, pop"
Closer,The Chainsmokers,"tropical house, electropop, dance-pop"
FLOWER,JISOO,k-pop
PERRO NEGRO,Bad Bunny,"trap latino, urbano latino, latin, reggaeton"
Rich Baby Daddy (feat. Sexyy Red & SZA),Drake,"r&b, hip hop, rap"
Havana (feat. Young Thug),Camila Cabello,"trap, melodic rap, rap"
LUNA,Feid,"urbano latino, reggaeton"
I Like You (A Happier Song) (with Doja Cat),Post Malone,"r&b, hip hop, pop"
Bones,Imagine Dragons,"alternative rock, arena rock, pop rock"
Segï¿½ï¿½n Qu,Maluma,"trap latino, urbano latino, latin, reggaeton"
Selfish,Justin Timberlake,"r&b, pop"
golden hour,JVKE,"indie pop, bedroom pop, pop"
Levitating (feat. DaBaby),Dua Lipa,pop
Get It Sexyy,Sexyy Red,"trap, hip hop, southern hip hop"
"This Wish - From ""Wish""",Ariana DeBose,musicals
IDGAF (feat. Yeat),Drake,"rage rap, hip hop, rap"
Ojitos Lindos,Bad Bunny,"trap latino, urbano latino, latin alternative, reggaeton, latin"
Life Is Good (feat. Drake),Future,"hip hop, rap"
Escapism.,RAYE,"electronic, dance-pop, pop"
Stargazing,Myles Smith,"indie pop, alternative pop"
Jimmy Cooks (feat. 21 Savage),Drake,"hip hop, rap"
What You Know Bout Love,Pop Smoke,"drill, new york drill, brooklyn drill"
Memories,Maroon 5,pop
Classy 101,Feid,"trap latino, urbano latino, reggaeton"
Whatever,Kygo,tropical house
Whatever She Wants,Bryson Tiller,r&b
Vois sur ton chemin - Techno Mix,BENNETT,"hypertechno, techno"
"yes, and?",Ariana Grande,pop
Without Me,Halsey,"electropop, alternative pop, pop"
meet the grahams,Kendrick Lamar,"west coast hip hop, hip hop"
First Person Shooter (feat. J. Cole),Drake,"hip hop, rap"
Shallow,Lady Gaga,"art pop, pop"
Thunder,Imagine Dragons,"alternative rock, arena rock, pop rock"
Rush,Ayra Starr,"afrobeat, afropop, afrobeats, afro soul, afropiano"
abcdefu,GAYLE,"alternative pop, pop"
Buga,Kizz Daniel,"azonto, afrobeat, hiplife, afropop, afrobeats, afroswing, afropiano"
Bad Habit,Steve Lacy,"r&b, funk, indie r&b, soul"
MONEY,LISA,k-pop
Columbia,Quevedo,reggaeton
LADY GAGA,Peso Pluma,"corridos bélicos, sierreño, corridos tumbados, corrido, banda, sad sierreño, electro corridos, música mexicana"
Woman,Doja Cat,"trap, r&b, pop"
CUFF IT,Beyoncï¿,"rage rap, hip hop, west coast hip hop"
KING KONG,TREASURE,k-pop
How You Like That,BLACKPINK,k-pop
Milf Song,The Puddleducks,"mexican hip hop, west coast hip hop, hip hop"
Nasty,Tinashe,alternative r&b
Superhero (Heroes & Villains),Metro Boomin,"r&b, rap"
Panda,Desiigner,"trap, hip hop, mumble rap"
Push Ups,Drake,"hip hop, rap"
Tattoo,Loreen,europop
Kiss Me More (feat. SZA),Doja Cat,r&b
What It Is (Block Boy) (with Kodak Black),Doechii,"trap, r&b, hip hop"
Gata Only,FloyyMenor,"reggaeton chileno, reggaeton, chilean mambo, chilean trap"
Illusion,Dua Lipa,pop
drivers license,Olivia Rodrigo,"soft rock, alternative pop, pop"
Used To Be Young,Miley Cyrus,"soft rock, ballad, pop"
Cupid - Twin Ver.,FIFTY FIFTY,k-pop
How Sweet,NewJeans,k-pop
Players,Coi Leray,"trap, pop rap, hip hop"
rockstar (feat. 21 Savage),Post Malone,"trap, pop rap, hip hop, pop"
Lil Somethin Somethin,Vayah,"trap, r&b, hip hop"
Con Calma,Daddy Yankee,"latin, reggaeton"
Here With Me,d4vd,"indie pop, alternative r&b, dark pop"
Favorite Song,Toosii,"trap, r&b, hip hop"
Si No Quieres No,Luis R Conriquez,"corridos bélicos, sierreño, corrido, banda, electro corridos, sad sierreño, música mexicana, corridos tumbados"
Mele Kalikimaka,Bing Crosby,"swing music, big band, christmas"
MONTERO (Call Me By Your Name),Lil Nas X,"trap, country-trap, pop"
Voz Emplumada del Monte,Biomigrant,"downtempo, organic house, latin folk"
Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,"country, pop, folk"
Si No Estï¿½,iï¿½ï¿½igo quin,"reggaeton, latin pop"
Glimpse of Us,Joji,"r&b, alternative r&b, pop"
Watermelon Sugar,Harry Styles,"funk-pop, soft rock, pop"
Corazï¿½ï¿½n de Pi,Xavi,"pop, latin pop"
Praise Jah In The Moonlight,YG Marley,"dancehall, reggae"
WHERE SHE GOES,Bad Bunny,"trap latino, urbano latino, latin, reggaeton"
Yandel 150,Yandel,"urbano latino, latin, reggaeton"
THATS WHAT I WANT,Lil Nas X,"hip hop, pop, country-pop"
Todo De Ti,Rauw Alejandro,"trap latino, urbano latino, latin, reggaeton"
Chemical,Post Malone,"trap, hip hop, pop"
See You Again (feat. Charlie Puth),Wiz Khalifa,"soft pop, rap, pop"
Drip Too Hard (Lil Baby & Gunna),Lil Baby,melodic rap
Shooting Star,Kep1er,k-pop
Uptown Funk,Mark Ronson,"pop, funk, r&b, soul"
Dog's Plan,David Jackson,"indie dance, nu disco, italo dance, italo disco"
love nwantiti (ah ah ah),CKay,"afrobeats, afrobeat, afropop"
Mi Gente,J Balvin,"latin, reggaeton"
Late Night Talking,Harry Styles,"soft rock, funk, pop"
Miss You,Oliver Tree,tropical house
girls like me don't cry,thï¿½ï,"vietnam indie, vinahouse, v-pop, vietnamese hip hop"
Yummy Fruits and Vegetables,D Billions,children's music
Dakiti,Bad Bunny,"trap latino, urbano latino, latin, reggaeton"
Starboy,The Weeknd,"french house, electronic, electro"
Sorry,Justin Bieber,"post-teen pop, r&b, pop"
Calling My Phone,Lil Tjay,"melodic rap, brooklyn drill"
Pink Venom,BLACKPINK,k-pop
I Can Do It With a Broken Heart,Taylor Swift,"country pop, pop"
death bed (coffee for your head),Powfu,bedroom pop
Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,rap
MELTDOWN (feat. Drake),Travis Scott,"hip hop, rap"
California Gurls,Katy Perry,"gangster rap, hip hop, west coast hip hop, g-funk, rap, pop"
Moscow Mule,Bad Bunny,"trap latino, urbano latino, latin, reggaeton"
Something Just Like This,The Chainsmokers,"tropical house, dance-pop, pop"
7 rings,Ariana Grande,pop
Moonlight,Kali Uchis,"r&b, alternative r&b, soul"
Savage Love (Laxed - Siren Beat),Jawsh 685,"electronic, dancehall, pop"
Bidi Bidi Bom Bom (Remasterizado 2024/30th Anniversary),Selena,"tejano, música mexicana, cumbia"
God's Plan,Drake,"hip hop, rap"
Sunroof,Nicky Youre,"indie pop, alternative pop, pop"
La Vï¿½ï¿½c,Xavi,classical
MY EYES,Travis Scott,rap
WORK,ATEEZ,k-pop
Despacito - Remix,Luis Fonsi,"latin, reggaeton"
Ghost,Justin Bieber,"r&b, electropop, pop"
Dior,Pop Smoke,"drill, new york drill, brooklyn drill"
New Baby Shark,Pinkfong,"lullaby, children's music"
Breakeven,The Script,"adult contemporary, pop"
Una Noche en Medellï¿½,Cris Mj,"reggaeton chileno, reggaeton, chilean mambo, chilean trap"
SAD!,XXXTENTACION,emo rap
Primera Cita,Carin Leon,"ranchera, sierreño, grupera, corrido, norteño, banda, sad sierreño, música mexicana"
Efecto,Bad Bunny,"trap latino, urbano latino, latin, reggaeton"
Dame Tu Cosita,El Chombo,"dancehall, champeta, jungle, ragga, lovers rock, reggae"
Bï¿½ï¿½nï¿½ï¿½ï¿½ï¿½os Que Nï¿½ï¿½o Tï¿½ï¿½m Fim (Co,Isadora Pompeo,"christian pop, brazilian pop"
Slow It Down,Benson Boone,"alternative pop, pop"
Yonaguni,Bad Bunny,"trap latino, urbano latino, latin, reggaeton"
Heathens,Twenty One Pilots,"alternative rock, emo, pop rock"
Whoopty,CJ,dembow
Super Shy,NewJeans,k-pop
Happier,Marshmello,edm
HARLEY QUINN,Fuerza Regida,"corridos bélicos, sierreño, edm, corridos tumbados, corrido, banda, electro corridos, sad sierreño, música mexicana"
Baby Don't Hurt Me,David Guetta,"edm, dance"
Butter,BTS,k-pop
Cinderella,Future,rap
Calma - Remix,Pedro Capï¿,"latin hip hop, dancehall, chilean trap"
"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",Justin Timberlake,"funk, dance-pop, pop"
Say So,Doja Cat,"r&b, funk, pop"
Ransom,Lil Tecca,"melodic rap, rap"
Romantic Homicide,d4vd,"alternative pop, hyperpop, dark pop"
Pink Skies,Zach Bryan,"country, red dirt"
Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,dancehall
Danza Kuduro - Cover,MUSIC LAB JPN,"pop, latin, reggaeton, dance"
Rich Men North of Richmond,Oliver Anthony Music,country
BESO,ROSALï¿½,"trap latino, urbano latino, latin, reggaeton"
MTG QUEM Nï¿½ï¿½O QUER SO,DJ TOPO,"trap, trap funk, funk, funk consciente, brazilian funk, brazilian trap, r&b, east coast hip hop, brazilian hip hop"
Que Vuelvas,Carin Leon,"corridos bélicos, ranchera, sierreño, tejano, grupera, corridos tumbados, corrido, norteño, banda, sad sierreño, cumbia norteña, música mexicana"
Pretty Green Eyes (Sunset Ibiza Mix),KETTAMA,"hard house, uk garage"
Just Wanna Rock,Lil Uzi Vert,melodic rap
Mood Swings (feat. Lil Tjay),Pop Smoke,"drill, new york drill, brooklyn drill, melodic rap"
Fuck Love (feat. Trippie Redd),XXXTENTACION,"rage rap, melodic rap"
Rich Flex,Drake,"hip hop, rap"
Standing Next to You,Jung Kook,k-pop
Congratulations,Post Malone,"trap, r&b, hip hop, pop"
Do It To It,ACRAZE,tech house
Tusa,KAROL G,"urbano latino, latin, reggaeton"
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,"drill, new york drill, brooklyn drill"
Good Good,USHER,r&b
Austin,Dasha,"indie pop, pop"
Search & Rescue,Drake,"hip hop, rap"
TULUM,Peso Pluma,"corridos bélicos, tejano, grupera, corridos tumbados, corrido, banda, sad sierreño, electro corridos, cumbia norteña, norteño, música mexicana"
Shivers,Ed Sheeran,soft pop
Coup du marteau,Tam Sir,shatta
Adderall (Corvette Corvette),Popp Hunna,"trap, hip hop, cloud rap"
Full Senyum Sayang,Evan Loss,"dangdut, lagu jawa, indonesian pop"
Sunroof,Nicky Youre,"indie pop, pop"
Watching Yourself Being Born,Blush Response,"ebm, industrial, acid techno"
Los del Espacio,LIT killah,"trap latino, trap, argentine trap, urbano latino, cuarteto, cumbia"
Taste (feat. Offset),Tyga,"trap, r&b, hip hop"
MAMIII,Becky G,"urbano latino, latin, reggaeton"
Until I Found You,Stephen Sanchez,"indie pop, acoustic pop, pop"
exes,Tate McRae,"alt-pop, teen pop, pop"
Banana (feat. Shaggy),Conkarah,reggae
Stick Season,Noah Kahan,"indie folk, singer-songwriter, folk"
Need To Know,Doja Cat,"trap, r&b, pop"
kompa pasiï¿½,ýýýýýýýýýý,"kompa, haitian kompa"
Quï¿½ï¿½ Ago,Yuridia,"ballad, latin pop, pop"
Last Last,Burna Boy,"dancehall, afrobeat, afropop, afrobeats, afroswing, afropiano"
Ngopi Maszeh,Happy Asmara,"dangdut, lagu jawa"
500lbs,Lil Tecca,"melodic rap, rap"
Knife Talk (with 21 Savage ft. Project Pat),Drake,"gangster rap, hip hop, crunk, rap, memphis rap, southern hip hop"
BILLIE EILISH.,Armani White,"trap, r&b, hip hop"
ýýýýýýýýýýýý,YOASOBI,"j-pop, anime"
Lï¿½ï¿½ï¿½AMOUR DE ,Billie Eilish,"alternative pop, dark pop"
Thinkinï¿½ï¿½ï¿½ B,Morgan Wallen,"west coast hip hop, hip hop"
Madonna,Natanael Cano,"corridos bélicos, sierreño, corrido, banda, electro corridos, sad sierreño, música mexicana, corridos tumbados"
deja vu,Olivia Rodrigo,"alternative pop, pop"
6. A.M.,Azul,"indie pop, bedroom pop"
CONTIGO (with Tiï¿½ï¿½,KAROL G,"dancehall, urbano latino, ragga, reggaeton, roots reggae, latin, reggae"
Sequï¿½ï¿½ncia da,TRASHXRL,italian singer-songwriter
WILDFLOWER,Billie Eilish,"indie pop, alternative pop, pop"
Doja,Central Cee,"drill, uk drill, grime"
Kill This Love,BLACKPINK,k-pop
Lan,Zeynep Bastï¿½,turkish hip hop
"Good Luck, Babe!",Chappell Roan,"pop, synth-pop, hyperpop"
Sweet but Psycho,Ava Max,"electropop, dance-pop, pop"
Hey Mor,Ozuna,"trap latino, urbano latino, latin, reggaeton"
Ferrari,James Hype,"house, tech house"
Falling,Trevor Daniel,"trap, r&b, alternative r&b, pop"
positions,Ariana Grande,pop
Where Are You Now,Lost Frequencies,"soft pop, tropical house"
Amor Prohibido - Remasterizado 2024/30th Anniversary,Selena,"tejano, música mexicana, cumbia"
Save Your Tears,The Weeknd,"r&b, synth-pop, pop"
Happier Than Ever,Billie Eilish,"alternative pop, pop, dark pop"
This Is What You Came For,Calvin Harris,edm
China,Anuel AA,"trap latino, urbano latino, latin, reggaeton"
"Let It Go - From ""Frozen""/Soundtrack Version",Idina Menzel,musicals
Moonlight,XXXTENTACION,emo rap
I Had Some Help (feat. Morgan Wallen),Post Malone,country
Smart,LE SSERAFIM,k-pop
That's What I Like,Bruno Mars,"soul, r&b, funk, pop"
Commando,Mavokali,"afrobeats, afrobeat, bongo flava"
The Business,Tiï¿½ï¿,"trap, manele"
Ride It,Regard,"electronic, uk garage, dance-pop"
Mwaki,Zerb,afro house
BICHOTA,KAROL G,"urbano latino, latin, reggaeton"
Renklensin,Reynmen,"turkish pop, turkish hip hop"
Bad idea,Kurochuu,"lo-fi, indie jazz"
writhe,daine,hyperpop
The Hills,The Weeknd,"r&b, alternative r&b, dark pop"
Seven (feat. Latto) (Clean Ver.),Jung Kook,k-pop
SKINNY,Billie Eilish,"alternative pop, dark pop"
The Girl From Ipanema,Stan Getz,"cool jazz, brazilian jazz, bossa nova, latin jazz, jazz"
Te Felicito,Shakira,"trap latino, urbano latino, latin pop, reggaeton, latin"
Que Onda,Calle 24,"corridos bélicos, sierreño, corrido, banda, sad sierreño, electro corridos, música mexicana, corridos tumbados"
Stumblin' In,CYRIL,"disco, funk, r&b, soul"
A Bar Song (Tipsy),Shaboozey,"indie pop, indie folk, pop"
STAR WALKIN' (League of Legends Worlds Anthem),Lil Nas X,"trap, hip hop, pop"
Desesperados,Rauw Alejandro,"trap latino, urbano latino, latin, reggaeton"
"Young Miko: Bzrp Music Sessions, Vol. 58",Bizarrap,"trap latino, urbano latino, argentine trap"
Sugar,Maroon 5,pop
I DONï¿½ï¿½ï¿½T WANNA DO THIS A,Juliï¿½ï¿½n Kh,"indie pop, alternative, bedroom pop"
Igual Que Un ï¿½ï¿½ngel (with Peso Pl,Kali Uchis,"corridos bélicos, corridos tumbados, corrido, banda, sad sierreño, electro corridos, música mexicana"
"Jhoome Jo Pathaan (From ""Pathaan"") [Arabic Version]",Abd El Fattah Grini,"khaleeji, egyptian pop, bollywood, hindi pop, moroccan chaabi, desi, raï, moroccan pop, desi pop"
Old Town Road - Remix,Lil Nas X,"country rap, country, hip hop, trap"
Let Me Love You,DJ Snake,"trap, electronic, pop, future bass"
Envolver,Anitta,"pagode baiano, funk, brazilian pop, funk carioca, funk pop"
Oublie-moi,Emkal,pop urbaine
Malohat,Xamdam Sobirov,"uzbek pop, pop"
MAESTRO,SEVENTEEN,k-pop
NUEVA VIDA,Peso Pluma,"corridos bélicos, corridos tumbados, corrido, banda, sad sierreño, electro corridos, música mexicana"
you broke me first,Tate McRae,"alternative pop, pop"
Relationship (feat. Future),Young Thug,"trap, melodic rap, rap"
Beggin',Mï¿½ï¿½ne,"r&b, blues-rock, rock, pop"
Faint,Linkin Park,"nu metal, rap metal, rock, alternative metal"
Pretty - Sped Up,MEYY,"pop, hyperpop"
Hawï¿½,Maluma,"tropical, reggaeton, latin pop"
LA FALDA,Myke Towers,"trap latino, urbano latino, reggaeton"
act ii: date @ 8,4batz,"experimental pop, electronic, hyperpop"
Cradles,Sub Urban,"electropop, alternative pop, dark pop"
Roses - Imanbek Remix,SAINt JHN,slap house
Angel Numbers / Ten Toes,Chris Brown,r&b
Never Lose Me,Flo Milli,"trap, pop rap, hip hop"
Reggaeton Champagne,Bellakath,"neoperreo, reggaeton mexa, reggaeton, electro corridos"
MASHA ULTRAFUNK,HISTED,"brazilian phonk, phonk"
Under The Influence,Chris Brown,r&b
Life Goes On,Oliver Tree,"indie pop, anti-pop, alternative, pop"
Si Una Vez (Remasterizado 2024/30th Anniversary),Selena,"tejano, música mexicana, cumbia"
BATTER UP,BABYMONSTER,k-pop
SI NO ES CONTIGO,Cris Mj,"reggaeton chileno, reggaeton, chilean mambo, chilean trap"
