Track,Album Name,Artist,All Time Rank,Track Score,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity
SHEESH,BABYMONS7ER,BABYMONSTER,32,237.5,3479.0,25936342.0,82.0
Water,Water,Tyla,33,234.6,98450.0,150471020.0,83.0
Strangers,Strangers,Kenya Grace,34,233.5,139141.0,103879363.0,79.0
A Bar Song (Tipsy),A Bar Song (Tipsy),Shaboozey,37,226.4,25766.0,180237463.0,96.0
Lose Control,Lose Control,Teddy Swims,38,224.1,88239.0,180617454.0,87.0
fukumean,fukumean,Gunna,39,221.1,188142.0,80392612.0,80.0
Dance Monkey,Dance Monkey,Tones And I,40,214.5,375201.0,64901153.0,71.0
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,41,212.8,10871.0,202626837.0,92.0
I'm Good (Blue),I'm Good (Blue),David Guetta,43,209.6,262248.0,239957538.0,83.0
Daylight,Daylight,David Kushner,44,207.0,177800.0,85255689.0,82.0
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,45,206.2,105927.0,92834002.0,86.0
Please Please Please,Please Please Please,Sabrina Carpenter,46,205.7,2572.0,183043096.0,83.0
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,49,203.6,43923.0,46133083.0,69.0
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,50,203.5,178114.0,49464650.0,74.0
euphoria,euphoria,Kendrick Lamar,51,202.1,17168.0,62516401.0,86.0
Panda Basi,Panda Basi - EP,Mvua,52,200.3,249.0,8585.0,25.0
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,53,198.0,163876.0,130963116.0,77.0
Shape of You,Shape of You,Ed Sheeran,54,195.1,316378.0,148037882.0,80.0
Mitu,Mitu - Single,Maian,55,194.3,42.0,16861.0,13.0
Blinding Lights,Blinding Lights,The Weeknd,56,194.0,590392.0,165544011.0,83.0
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,57,192.3,228295.0,64806723.0,80.0
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,60,189.1,210583.0,95974138.0,74.0
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,61,187.9,2.0,135.0,9.0
Supernova,Supernova,aespa,63,186.1,2483.0,21046278.0,81.0
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,64,184.8,173358.0,67603671.0,79.0
Calm Down,Calm Down,Rema,66,180.1,182994.0,19203258.0,68.0
Kill Bill,SOS,SZA,68,177.7,190202.0,99546318.0,82.0
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,69,177.6,114560.0,97542546.0,82.0
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,70,176.2,252.0,21930.0,6.0
Heat Waves,Heat Waves,Glass Animals,71,175.0,486278.0,112416489.0,82.0
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,73,174.3,100130.0,74836321.0,74.0
The Way We Move - Extended Mix,The Way We Move,PowerDress,74,173.6,38.0,15023.0,4.0
Old Town Road,Old Town Road,Lil Nas X,75,170.3,127393.0,18652312.0,67.0
un x100to,un x100to,Grupo Frontera,76,170.2,99381.0,57394938.0,75.0
Sprinter,Sprinter - Single,Dave,78,168.1,199828.0,55464762.0,78.0
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,79,167.8,11028.0,144854768.0,90.0
TQG,TQG,KAROL G,80,167.8,78554.0,69319589.0,78.0
Pepas,Pepas,Farruko,82,167.3,359502.0,125112486.0,74.0
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,84,166.5,129463.0,39814172.0,74.0
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,85,166.2,74769.0,139913794.0,80.0
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,86,164.9,94887.0,74469479.0,79.0
Easy On Me,Easy On Me,Adele,88,163.2,209635.0,93875458.0,73.0
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,90,162.0,108322.0,41018697.0,68.0
Anti-Hero,Midnights,Taylor Swift,91,161.8,117005.0,97456780.0,80.0
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,92,161.7,209490.0,88591675.0,78.0
Magnetic,SUPER REAL ME,ILLIT,93,161.0,11500.0,90584540.0,86.0
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,94,158.2,37806.0,22826643.0,70.0
La Diabla,La Diabla - Single,Xavi,95,155.9,27544.0,47789063.0,83.0
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,96,153.6,129047.0,50996176.0,70.0
Snooze,SOS,SZA,97,153.3,108036.0,86470319.0,84.0
BELLAKEO,BELLAKEO,Peso Pluma,98,153.1,26065.0,79152427.0,86.0
Lil Boo Thang,Lil Boo Thang,Paul Russell,102,152.1,37170.0,74130983.0,76.0
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,104,150.5,7240.0,1708319.0,43.0
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,105,150.4,163449.0,127827271.0,77.0
Training Season,Training Season,Dua Lipa,106,148.9,16811.0,92985554.0,76.0
Type Shit,WE DON'T TRUST YOU,Future,107,148.1,28064.0,84737651.0,84.0
Armageddon,Armageddon - The 1st Album,aespa,108,147.4,1262.0,26204483.0,74.0
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,109,146.6,317345.0,87765033.0,78.0
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,110,145.3,354831.0,87942438.0,70.0
Pedro,Pedro - Single,Jaxomy,111,144.6,27654.0,159737263.0,85.0
Fast Car,Gettin' Old,Luke Combs,112,144.5,73116.0,58391498.0,80.0
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,113,144.0,22222.0,13870528.0,80.0
Aesthetic,Aesthetic,Tollan Kim,114,144.0,2311.0,535908.0,44.0
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,116,143.9,392082.0,123917182.0,79.0
Saturn,Saturn - Single,SZA,117,142.8,21104.0,154253718.0,87.0
Believer,Believer,Imagine Dragons,119,142.2,335880.0,89243475.0,81.0
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,120,141.0,183850.0,58397185.0,77.0
I KNOW ?,UTOPIA,Travis Scott,121,139.5,128534.0,31725858.0,81.0
ANDO,ANDO,Jere Klein,122,139.0,28591.0,30905957.0,72.0
First Class,First Class,Jack Harlow,123,138.6,223609.0,49586777.0,71.0
FE!N,UTOPIA,Travis Scott,124,137.8,129923.0,93969186.0,86.0
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,125,137.7,545.0,1054122.0,40.0
Losing Interest - Original Mix,Losing Interest (Original),Goovex,126,136.4,5.0,5973.0,1.0
Drained of Color,Drained of Color,Exhumed,129,134.0,635.0,18765.0,16.0
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,130,133.0,302486.0,82611625.0,76.0
Dynamite,Dynamite,BTS,131,132.3,144619.0,51186002.0,74.0
Someone You Loved,Breach,Lewis Capaldi,133,129.7,338763.0,160553919.0,82.0
Made You Look,Takin' It Back,Meghan Trainor,135,129.5,74295.0,89509926.0,77.0
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,136,129.4,351.0,43395.0,34.0
vampire,vampire,Olivia Rodrigo,138,128.9,90793.0,87801398.0,18.0
Back,Back,LOLA,140,128.0,92.0,15747.0,3.0
People,People - Single,Libianca,141,127.8,121823.0,45030006.0,74.0
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,144,126.9,10564.0,180987712.0,84.0
Abc,Abc,J Ross,145,126.6,5.0,5100.0,1.0
La Bachata,La Bachata,Manuel Turizo,146,126.2,156941.0,97122096.0,81.0
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,148,125.2,282719.0,97390961.0,74.0
Don't Start Now,Don't Start Now,Dua Lipa,149,124.6,270230.0,143953432.0,78.0
Lucid Dreams,Lucid Dreams,Juice WRLD,150,123.9,339306.0,75858140.0,78.0
PROVENZA,PROVENZA,KAROL G,151,123.8,103026.0,64847502.0,76.0
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,152,123.4,171255.0,53040559.0,72.0
SPOT!,SPOT!,ZICO,153,122.8,3407.0,35428519.0,81.0
Family Matters,Family Matters,Drake,154,122.7,8696.0,36774031.0,86.0
Again,Missing,Kurochuu,155,122.5,2.0,2190.0,2.0
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,156,122.4,54950.0,91343768.0,80.0
Last Night,3 Songs At A Time Sampler,Morgan Wallen,157,121.9,107189.0,61174155.0,79.0
Bad Habits,#NAME?,Ed Sheeran,159,120.8,271758.0,62218811.0,74.0
Leave The Door Open,Leave The Door Open,Bruno Mars,161,120.1,248793.0,50068571.0,75.0
good 4 u,good 4 u,Olivia Rodrigo,163,117.8,309421.0,72787213.0,79.0
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,164,117.7,296739.0,113315017.0,76.0
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,167,116.7,272933.0,50425049.0,70.0
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,168,116.6,44730.0,21933393.0,71.0
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,169,116.5,70400.0,105320547.0,84.0
Circles,Circles,Post Malone,170,116.0,332437.0,124491320.0,80.0
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,171,115.9,24891.0,25915889.0,78.0
About Damn Time,About Damn Time,Lizzo,172,115.6,104052.0,47808065.0,66.0
Closer,Closer,The Chainsmokers,173,114.6,285381.0,129399627.0,80.0
FLOWER,ME,JISOO,174,114.3,26107.0,15314737.0,70.0
Havana (feat. Young Thug),Havana,Camila Cabello,177,112.8,194332.0,86159672.0,75.0
LUNA,FERXXOCALIPSIS,Feid,178,112.6,40628.0,139802900.0,86.0
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,179,112.5,118965.0,64661540.0,73.0
Bones,Bones,Imagine Dragons,180,112.0,180053.0,70861210.0,78.0
golden hour,golden hour,JVKE,183,111.4,200887.0,45885823.0,73.0
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,184,111.3,255296.0,109442317.0,77.0
Get It Sexyy,Get It Sexyy,Sexyy Red,185,111.1,7377.0,70714216.0,84.0
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,186,110.9,2673.0,8562091.0,19.0
Ojitos Lindos,Un Verano Sin Ti,Bad Bunny,188,110.7,152592.0,62313059.0,78.0
Life Is Good (feat. Drake),Life Is Good (feat. Drake),Future,189,110.2,276882.0,51153940.0,67.0
Escapism.,Escapism. / The Thrill Is Gone.,RAYE,190,110.1,128247.0,62532855.0,75.0
Stargazing,Stargazing,Myles Smith,191,109.8,9406.0,164949597.0,87.0
Jimmy Cooks (feat. 21 Savage),"Honestly, Nevermind",Drake,192,109.7,239671.0,77479207.0,78.0
What You Know Bout Love,Shoot For The Stars Aim For The Moon,Pop Smoke,193,109.5,251023.0,32574699.0,72.0
Memories,Memories,Maroon 5,194,109.3,222804.0,49920599.0,77.0
Classy 101,Classy 101,Feid,195,109.1,90726.0,70485920.0,78.0
Whatever,Whatever,Kygo,196,109.0,17551.0,159961203.0,83.0
Whatever She Wants,Whatever She Wants,Bryson Tiller,197,108.4,23181.0,114051028.0,87.0
Vois sur ton chemin - Techno Mix,Vois sur ton chemin (Techno Mix),BENNETT,198,107.8,119783.0,95312340.0,80.0
Without Me,Without Me,Halsey,200,107.4,198888.0,69311277.0,75.0
Shallow,Shallow,Lady Gaga,204,106.9,221822.0,90174192.0,78.0
Thunder,Thunder,Imagine Dragons,203,106.9,244951.0,88329475.0,79.0
Rush,Rush,Ayra Starr,205,106.4,98009.0,19411516.0,67.0
abcdefu,abcdefu,GAYLE,206,106.2,193857.0,61311826.0,70.0
Buga,Buga,Kizz Daniel,208,105.8,30835.0,3440925.0,57.0
Bad Habit,Bad Habit,Steve Lacy,207,105.8,220515.0,63054597.0,73.0
MONEY,LALISA,LISA,210,105.5,103236.0,33637835.0,73.0
Columbia,Columbia,Quevedo,209,105.5,84161.0,56226278.0,79.0
LADY GAGA,LADY GAGA,Peso Pluma,212,105.2,48370.0,25130304.0,78.0
Woman,Planet Her,Doja Cat,211,105.2,217443.0,95985096.0,78.0
KING KONG,KING KONG,TREASURE,214,104.5,207.0,12311489.0,68.0
How You Like That,How You Like That,BLACKPINK,215,104.5,82170.0,21177170.0,68.0
Milf Song,Milf Song,The Puddleducks,216,104.5,1176.0,23110.0,28.0
Nasty,Nasty,Tinashe,217,104.4,3887.0,106475497.0,76.0
Superhero (Heroes & Villains),HEROES & VILLAINS,Metro Boomin,218,104.4,166277.0,62975073.0,77.0
Panda,Panda,Desiigner,219,104.2,170002.0,34000497.0,62.0
Tattoo,Tattoo,Loreen,221,103.9,83033.0,48268736.0,77.0
Kiss Me More (feat. SZA),Kiss Me More (feat. SZA),Doja Cat,222,103.4,262313.0,116916147.0,76.0
What It Is (Block Boy) (with Kodak Black),What It Is (Versions),Doechii,223,103.3,29487.0,4775168.0,61.0
Illusion,Illusion,Dua Lipa,225,103.1,7430.0,117576704.0,12.0
drivers license,drivers license,Olivia Rodrigo,226,102.9,250778.0,70173770.0,79.0
Used To Be Young,Endless Summer Vacation,Miley Cyrus,227,102.4,30639.0,39407660.0,69.0
Cupid - Twin Ver.,The Beginning: Cupid - Single,FIFTY FIFTY,229,102.3,103040.0,37365896.0,48.0
How Sweet,How Sweet,NewJeans,228,102.3,1940.0,36883184.0,79.0
Players,Players,Coi Leray,230,101.8,91658.0,60607887.0,67.0
rockstar (feat. 21 Savage),rockstar,Post Malone,231,101.8,352745.0,82442565.0,77.0
Con Calma,Con Calma,Daddy Yankee,236,101.4,160122.0,52701166.0,73.0
Here With Me,Here With Me,d4vd,234,101.4,154178.0,58833842.0,80.0
Favorite Song,Favorite Song,Toosii,235,101.4,45668.0,6252506.0,62.0
Si No Quieres No,Si No Quieres No - Single,Luis R Conriquez,233,101.4,5423.0,71590238.0,85.0
MONTERO (Call Me By Your Name),MONTERO (Call Me By Your Name),Lil Nas X,238,100.8,316054.0,50751390.0,70.0
Voz Emplumada del Monte,Voz Emplumada - EP,Biomigrant,239,100.3,80.0,1636.0,16.0
Glimpse of Us,Glimpse of Us,Joji,242,99.8,234936.0,83890841.0,74.0
Watermelon Sugar,Watermelon Sugar,Harry Styles,243,99.7,298135.0,159003869.0,82.0
Praise Jah In The Moonlight,Praise Jah In the Moonlight - Single,YG Marley,245,98.5,50137.0,43508958.0,70.0
WHERE SHE GOES,WHERE SHE GOES,Bad Bunny,246,98.4,98440.0,37797217.0,72.0
Yandel 150,Yandel 150,Yandel,247,98.1,102545.0,38825844.0,70.0
THATS WHAT I WANT,MONTERO,Lil Nas X,248,98.0,165197.0,75503476.0,72.0
Todo De Ti,Todo De Ti,Rauw Alejandro,249,98.0,188874.0,76063128.0,75.0
Chemical,Chemical,Post Malone,250,97.6,79679.0,43648353.0,75.0
See You Again (feat. Charlie Puth),See You Again (feat. Charlie Puth),Wiz Khalifa,251,97.6,159571.0,73641738.0,78.0
Drip Too Hard (Lil Baby & Gunna),Drip Too Hard,Lil Baby,252,97.5,266128.0,52476635.0,76.0
Uptown Funk,Full Circle: The Live Anthology,Mark Ronson,254,97.1,256764.0,149909699.0,77.0
Dog's Plan,Thoughts Feelings,David Jackson,255,97.0,44.0,1243.0,3.0
love nwantiti (ah ah ah),CKay The First,CKay,256,96.9,172458.0,43607688.0,71.0
Mi Gente,Mi Gente,J Balvin,257,96.4,189504.0,45240294.0,69.0
Late Night Talking,Harry's House,Harry Styles,258,96.4,108806.0,62563751.0,76.0
Miss You,Miss You,Oliver Tree,261,96.2,165883.0,38563849.0,51.0
Yummy Fruits and Vegetables,Yummy Fruits and Vegetables,D Billions,259,96.2,543.0,19016.0,35.0
Dakiti,Dakiti,Bad Bunny,262,96.1,245685.0,56430031.0,72.0
Starboy,Starboy,The Weeknd,265,95.7,366133.0,98022646.0,84.0
Sorry,Sorry,Justin Bieber,264,95.7,179545.0,89286647.0,78.0
Calling My Phone,Calling My Phone,Lil Tjay,263,95.7,213153.0,29437172.0,71.0
Pink Venom,Pink Venom,BLACKPINK,266,95.6,48251.0,22817940.0,68.0
I Can Do It With a Broken Heart,THE TORTURED POETS DEPARTMENT,Taylor Swift,267,95.0,7079.0,134357870.0,84.0
death bed (coffee for your head),"Some Boring, Love Stories, Pt. 2",Powfu,268,94.8,283938.0,62191957.0,74.0
Too Many Nights (feat. Don Toliver & with Future),HEROES & VILLAINS,Metro Boomin,269,94.5,155771.0,28629209.0,80.0
MELTDOWN (feat. Drake),MELTDOWN (feat. Drake),Travis Scott,270,94.3,106908.0,29964622.0,74.0
Moscow Mule,Un Verano Sin Ti,Bad Bunny,272,94.1,121256.0,44739826.0,77.0
Something Just Like This,Something Just Like This,The Chainsmokers,273,94.0,278237.0,128709855.0,82.0
7 rings,7 rings,Ariana Grande,274,93.9,179865.0,89518199.0,77.0
Moonlight,Moonlight,Kali Uchis,275,93.1,110539.0,46729655.0,74.0
Savage Love (Laxed - Siren Beat),Savage Love (Laxed - Siren Beat),Jawsh 685,276,93.1,142905.0,27025973.0,67.0
God's Plan,Diplomatic Immunity,Drake,278,92.9,313741.0,79266167.0,77.0
Sunroof,Sunroof,Nicky Youre,279,92.3,44652.0,23104189.0,12.0
MY EYES,UTOPIA,Travis Scott,281,91.9,103255.0,13549357.0,78.0
WORK,GOLDEN HOUR : Part.1,ATEEZ,282,91.7,678.0,14542753.0,31.0
Despacito - Remix,Despacito Feat. Justin Bieber (Remix),Luis Fonsi,284,91.5,134700.0,39604784.0,65.0
Ghost,Justice,Justin Bieber,283,91.5,151923.0,73574395.0,80.0
Dior,Meet The Woo,Pop Smoke,285,91.4,294539.0,47391658.0,72.0
New Baby Shark,Pinkfong & Baby Shark's Space Adventure Songs,Pinkfong,286,91.2,13.0,164.0,17.0
SAD!,SAD!,XXXTENTACION,289,90.5,263801.0,60437070.0,75.0
Primera Cita,La Primera Cita - Single,Carin Leon,290,90.5,35842.0,34735524.0,80.0
Efecto,Un Verano Sin Ti,Bad Bunny,292,90.1,115332.0,51081689.0,77.0
Slow It Down,Slow It Down,Benson Boone,294,89.4,11945.0,116623933.0,85.0
Yonaguni,Yonaguni,Bad Bunny,295,88.6,177082.0,44848091.0,71.0
Heathens,Heathens,Twenty One Pilots,296,88.6,241108.0,65091468.0,78.0
Whoopty,Whoopty,CJ,297,88.6,213464.0,28998615.0,61.0
Super Shy,NewJeans 'Super Shy',NewJeans,298,88.4,48103.0,22977059.0,77.0
Happier,Happier - Single,Marshmello,299,87.9,220298.0,53040597.0,16.0
HARLEY QUINN,HARLEY QUINN - Single,Fuerza Regida,301,87.7,31617.0,36745154.0,84.0
Baby Don't Hurt Me,Baby Don't Hurt Me - Single,David Guetta,300,87.7,69486.0,142546135.0,79.0
Butter,Butter,BTS,302,87.5,90160.0,40533320.0,70.0
"CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")","CAN'T STOP THE FEELING! (Original Song From Dreamworks Animation's ""Trolls"")",Justin Timberlake,305,87.1,191065.0,88781556.0,72.0
Say So,Hot Pink,Doja Cat,306,87.0,161574.0,48493190.0,69.0
Ransom,Ransom,Lil Tecca,307,86.8,198992.0,52412236.0,77.0
Romantic Homicide,Romantic Homicide,d4vd,308,86.8,152157.0,60605828.0,81.0
Pink Skies,Pink Skies,Zach Bryan,309,86.7,4611.0,98570633.0,84.0
Rockabye (feat. Sean Paul & Anne-Marie),Rockabye (feat. Sean Paul & Anne-Marie),Clean Bandit,310,86.6,170648.0,55710071.0,73.0
Rich Men North of Richmond,Rich Men North of Richmond - Single,Oliver Anthony Music,312,86.5,66613.0,6363839.0,74.0
Que Vuelvas,Que Vuelvas - Single,Carin Leon,314,86.1,42893.0,25716699.0,73.0
Just Wanna Rock,Just Wanna Rock,Lil Uzi Vert,318,85.8,152193.0,67322941.0,68.0
Mood Swings (feat. Lil Tjay),Shoot For The Stars Aim For The Moon,Pop Smoke,317,85.8,210669.0,32702397.0,70.0
Fuck Love (feat. Trippie Redd),17,XXXTENTACION,319,85.6,203617.0,35375009.0,79.0
Rich Flex,Her Loss,Drake,320,85.5,185579.0,57165405.0,73.0
Standing Next to You,GOLDEN,Jung Kook,321,85.5,23181.0,58344509.0,85.0
Congratulations,Congratulations,Post Malone,322,85.3,246374.0,81736432.0,75.0
Do It To It,Do It To It,ACRAZE,324,85.2,238887.0,94531613.0,73.0
Tusa,Tusa,KAROL G,323,85.2,157185.0,59187880.0,68.0
For The Night (feat. Lil Baby & DaBaby),Shoot For The Stars Aim For The Moon,Pop Smoke,325,84.8,272485.0,46626350.0,71.0
Good Good,Good Good,USHER,326,84.7,14742.0,9204769.0,59.0
Austin,Austin - Single,Dasha,327,84.6,17900.0,169190514.0,87.0
Search & Rescue,Search & Rescue,Drake,329,84.6,96709.0,21646810.0,69.0
TULUM,TULUM,Peso Pluma,328,84.6,36912.0,13688250.0,74.0
Shivers,#NAME?,Ed Sheeran,330,84.4,188855.0,77441110.0,77.0
Adderall (Corvette Corvette),Adderall (Corvette Corvette),Popp Hunna,332,84.1,24868.0,4716437.0,45.0
Los del Espacio,Los del Espacio - Single,LIT killah,336,83.3,53671.0,24287193.0,72.0
Taste (feat. Offset),Taste (feat. Offset),Tyga,338,83.1,217189.0,31143734.0,69.0
MAMIII,MAMIII,Becky G,337,83.1,80109.0,53928265.0,74.0
Until I Found You,Until I Found You,Stephen Sanchez,339,83.0,169696.0,52678003.0,73.0
Banana (feat. Shaggy),Banana (feat. Shaggy),Conkarah,341,82.7,9067.0,1365840.0,41.0
Stick Season,Stick Season,Noah Kahan,342,82.6,113676.0,169323128.0,86.0
Need To Know,Need To Know,Doja Cat,344,82.5,164743.0,42269625.0,71.0
Last Last,Last Last,Burna Boy,346,82.4,130203.0,16877163.0,68.0
500lbs,500lbs,Lil Tecca,349,82.1,79228.0,26972646.0,68.0
Knife Talk (with 21 Savage ft. Project Pat),Certified Lover Boy,Drake,348,82.1,217189.0,35225322.0,72.0
BILLIE EILISH.,BILLIE EILISH.,Armani White,350,82.0,91114.0,29730236.0,64.0
Madonna,Madonna - Single,Natanael Cano,354,81.3,7265.0,54631978.0,85.0
deja vu,deja vu,Olivia Rodrigo,355,81.3,172376.0,64346126.0,80.0
WILDFLOWER,HIT ME HARD AND SOFT,Billie Eilish,359,80.8,5188.0,50795354.0,87.0
Doja,Doja,Central Cee,360,80.5,192241.0,57503569.0,74.0
Kill This Love,Kill This Love,BLACKPINK,361,80.4,63934.0,18843601.0,67.0
"Good Luck, Babe!","Good Luck, Babe!",Chappell Roan,363,80.2,13470.0,157502211.0,87.0
Sweet but Psycho,Sweet but Psycho,Ava Max,365,80.1,174052.0,42966784.0,76.0
Hey Mor,Hey Mor,Ozuna,364,80.1,97956.0,68983561.0,76.0
Ferrari,Ferrari,James Hype,366,80.1,185422.0,78359363.0,74.0
Falling,Falling,Trevor Daniel,367,80.0,225643.0,32822629.0,71.0
positions,positions,Ariana Grande,368,80.0,139215.0,53934095.0,74.0
Where Are You Now,Where Are You Now,Lost Frequencies,370,79.9,211823.0,114773091.0,74.0
Save Your Tears,After Hours,The Weeknd,371,79.9,304456.0,63126296.0,80.0
Happier Than Ever,Happier Than Ever,Billie Eilish,372,79.9,189487.0,51228803.0,78.0
This Is What You Came For,This Is What You Came For,Calvin Harris,373,79.8,204049.0,117171040.0,79.0
China,China,Anuel AA,376,79.5,137559.0,58323638.0,68.0
"Let It Go - From ""Frozen""/Soundtrack Version",Frozen (Original Motion Picture Soundtrack / Deluxe Edition),Idina Menzel,374,79.5,64239.0,27371339.0,69.0
Smart,EASY,LE SSERAFIM,379,79.3,6829.0,20291074.0,74.0
That's What I Like,24K Magic,Bruno Mars,378,79.3,209632.0,84707015.0,80.0
Ride It,Ride It,Regard,382,78.2,220002.0,106549747.0,76.0
Mwaki,SURRENDER,Zerb,383,77.9,36468.0,76765385.0,42.0
BICHOTA,BICHOTA,KAROL G,385,77.8,86379.0,31261057.0,64.0
Renklensin,Renklensin - Single,Reynmen,384,77.8,2630.0,6589111.0,75.0
Bad idea,Missing,Kurochuu,387,77.6,2.0,2190.0,1.0
writhe,writhe,daine,386,77.6,163.0,6893.0,15.0
The Hills,The Hills,The Weeknd,388,77.5,333310.0,91689799.0,80.0
Seven (feat. Latto) (Clean Ver.),Seven (feat. Latto),Jung Kook,389,77.4,15863.0,14237841.0,72.0
SKINNY,HIT ME HARD AND SOFT,Billie Eilish,390,77.3,4083.0,13850203.0,84.0
Te Felicito,Te Felicito,Shakira,392,77.0,74269.0,37254627.0,67.0
Que Onda,Que Onda - Single,Calle 24,393,76.9,36781.0,21579429.0,81.0
Stumblin' In,Stumblin' In,CYRIL,394,76.9,22208.0,150873146.0,83.0
