Track,Album Name,Artist,All Time Rank,Track Score,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,Genres
fukumean,fukumean,Gunna,39,221.1,188142.0,80392612.0,80.0,melodic rap
Dance Monkey,Dance Monkey,Tones And I,40,214.5,375201.0,64901153.0,71.0,"indie pop, dance-pop, pop"
BIRDS OF A FEATHER,HIT ME HARD AND SOFT,Billie Eilish,41,212.8,10871.0,202626837.0,92.0,"alternative pop, dark pop"
Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,Cupid ï¿½ï¿½ï¿½ Twin Ver. (FIFTY FIFTY) ï¿½ï¿½ï¿½ Spe,sped up 8282,42,211.2,27827.0,5784546.0,41.0,k-pop
I'm Good (Blue),I'm Good (Blue),David Guetta,43,209.6,262248.0,239957538.0,83.0,"edm, dance"
Daylight,Daylight,David Kushner,44,207.0,177800.0,85255689.0,82.0,"alternative pop, pop"
My Love Mine All Mine,The Land Is Inhospitable and So Are We,Mitski,45,206.2,105927.0,92834002.0,86.0,"indie pop, indie rock, alternative"
Please Please Please,Please Please Please,Sabrina Carpenter,46,205.7,2572.0,183043096.0,83.0,"synth-pop, pop"
Houdini,Houdini - Single,Dua Lipa,47,205.1,45300.0,87874006.0,80.0,pop
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,48,204.4,9.0,85.0,,"latin, reggaeton, pop, dance"
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,48,204.4,9.0,85.0,,"latin, reggaeton, pop"
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,48,204.4,9.0,85.0,,"pop, latin, reggaeton, dance"
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,48,204.4,9.0,85.0,,"latin, reggaeton, dancehall"
Danza Kuduro - Cover,GEKIATU BEST AGE SONG - CLUB SONG,MUSIC LAB JPN,48,204.4,9.0,85.0,,"pop, latin, reggaeton, dance"
If We Ever Broke Up,If We Ever Broke Up,Mae Stephens,49,203.6,43923.0,46133083.0,69.0,"alternative pop, pop"
Despacito,Despacito (Featuring Daddy Yankee),Luis Fonsi,50,203.5,178114.0,49464650.0,74.0,"latin, reggaeton"
euphoria,euphoria,Kendrick Lamar,51,202.1,17168.0,62516401.0,86.0,"west coast hip hop, hip hop"
Panda Basi,Panda Basi - EP,Mvua,52,200.3,249.0,8585.0,25.0,"bongo flava, afrobeat, afropop"
Calm Down (with Selena Gomez),Calm Down (with Selena Gomez),Rema,53,198.0,163876.0,130963116.0,77.0,"afrobeat, afropop, afrobeats, pop, afropiano"
Shape of You,Shape of You,Ed Sheeran,54,195.1,316378.0,148037882.0,80.0,soft pop
Mitu,Mitu - Single,Maian,55,194.3,42.0,16861.0,13.0,"latin, reggaeton, tropical, pop"
Blinding Lights,Blinding Lights,The Weeknd,56,194.0,590392.0,165544011.0,83.0,"pop, r&b, synth-pop, darkwave"
Creepin' (with The Weeknd & 21 Savage),HEROES & VILLAINS,Metro Boomin,57,192.3,228295.0,64806723.0,80.0,"trap, r&b, hip hop"
Dona Felicidade,Dona Felicidade,Patati Patatï¿,58,190.0,2.0,41206.0,,"lullaby, children's music"
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,59,190.0,1.0,3.0,,"latin, reggaeton, pop, dance"
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,59,190.0,1.0,3.0,,"latin, reggaeton, pop"
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,59,190.0,1.0,3.0,,"pop, latin, reggaeton, dance"
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,59,190.0,1.0,3.0,,"latin, reggaeton, dancehall"
Danza Kuduro - Cover,YOUGAKU MORIMORI CLUB MEDLEY,MUSIC LAB JPN,59,190.0,1.0,3.0,,"pop, latin, reggaeton, dance"
Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),Sam Smith,60,189.1,210583.0,95974138.0,74.0,soft pop
Stereo Love - Melodic,Stereo Love Deluxe (feat. Vika Jigulina),Edward Maya,61,187.9,2.0,135.0,9.0,"eurodance, romanian dance, electronic, house"
Very Cute Melody by Marimba Tone (39813),Very Cute Melody by Marimba Tone (39813),mitsu sound,62,186.5,2.0,801.0,,dark trap
Supernova,Supernova,aespa,63,186.1,2483.0,21046278.0,81.0,k-pop
Me Porto Bonito,Un Verano Sin Ti,Bad Bunny,64,184.8,173358.0,67603671.0,79.0,"trap latino, urbano latino, latin, reggaeton"
Back That Azz Up (feat. Lil Wayne & Mannie Fresh),400 Degreez (Deluxe Edition),JUVENILE,65,181.4,4.0,98.0,,"hip hop, crunk, rap, southern hip hop, bounce"
Calm Down,Calm Down,Rema,66,180.1,182994.0,19203258.0,68.0,"afropiano, afrobeats, afrobeat, afropop"
CARNIVAL,CARNIVAL,ýý$,67,179.6,53842.0,103935623.0,84.0,"g-house, electro house, tech house, bass house"
Kill Bill,SOS,SZA,68,177.7,190202.0,99546318.0,82.0,r&b
"What Was I Made For? [From The Motion Picture ""Barbie""]","What Was I Made For? (From The Motion Picture ""Barbie"")",Billie Eilish,69,177.6,114560.0,97542546.0,82.0,"indie pop, alternative pop, pop"
Babba,Black Book ID's: Chapter 5 - EP,Guy Mac,70,176.2,252.0,21930.0,6.0,tech house
Heat Waves,Heat Waves,Glass Animals,71,175.0,486278.0,112416489.0,82.0,"indie pop, psychedelic pop, alternative r&b"
In the End,Papercuts,Linkin Park,72,174.8,97.0,488602.0,,"nu metal, rap metal, rock, alternative metal"
"Shakira: Bzrp Music Sessions, Vol. 53","Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,73,174.3,100130.0,74836321.0,74.0,"trap latino, urbano latino, argentine trap, latin pop"
The Way We Move - Extended Mix,The Way We Move,PowerDress,74,173.6,38.0,15023.0,4.0,nu disco
Old Town Road,Old Town Road,Lil Nas X,75,170.3,127393.0,18652312.0,67.0,"country rap, country, hip hop, trap"
un x100to,un x100to,Grupo Frontera,76,170.2,99381.0,57394938.0,75.0,"corridos bélicos, trap latino, urbano latino, tejano, grupera, corridos tumbados, corrido, norteño, banda, reggaeton, cumbia norteña, latin, música mexicana"
Laxed ï¿½ï¿½ï¿½ Sire,Laxed (Siren Beat),Jawsh 685,77,168.9,10230.0,1142937.0,,"melodic dubstep, chillwave, tropical house"
Sprinter,Sprinter - Single,Dave,78,168.1,199828.0,55464762.0,78.0,"drill, uk drill, grime"
CHIHIRO,HIT ME HARD AND SOFT,Billie Eilish,79,167.8,11028.0,144854768.0,90.0,"alternative pop, dark pop"
TQG,TQG,KAROL G,80,167.8,78554.0,69319589.0,78.0,"urbano latino, latin, reggaeton, latin pop"
Perfect,ýý (Deluxe),Ed Sheeran,81,167.5,280165.0,116921604.0,81.0,soft pop
Pepas,Pepas,Farruko,82,167.3,359502.0,125112486.0,74.0,"trap latino, latin, reggaeton"
Peekaboo,Glide - Single,Dave Angel,83,167.2,63.0,32758.0,,"acid house, acid techno"
Ella Baila Sola,Ella Baila Sola,Eslabon Armado,84,166.5,129463.0,39814172.0,74.0,"corridos bélicos, sierreño, corridos tumbados, corrido, banda, sad sierreño, electro corridos, música mexicana"
Dance The Night - From Barbie The Album,Dance The Night (From Barbie The Album),Dua Lipa,85,166.2,74769.0,139913794.0,80.0,pop
La Bebe - Remix,La Bebe (Remix),Yng Lvcas,86,164.9,94887.0,74469479.0,79.0,"corridos bélicos, corrido, reggaeton mexa, reggaeton, electro corridos, sad sierreño, banda, música mexicana, corridos tumbados"
redrum,american dream,21 Savage,87,164.8,57311.0,144298748.0,,"trap, hip hop"
Easy On Me,Easy On Me,Adele,88,163.2,209635.0,93875458.0,73.0,soft pop
Titï¿½ï¿½ Me Pregu,Un Verano Sin Ti,Bad Bunny,89,163.1,190692.0,77283361.0,77.0,"boom bap, jazz rap, alternative hip hop, experimental hip hop"
All My Life (feat. J. Cole),All My Life (feat. J. Cole),Lil Durk,90,162.0,108322.0,41018697.0,68.0,"drill, rap"
Anti-Hero,Midnights,Taylor Swift,91,161.8,117005.0,97456780.0,80.0,"alternative pop, pop"
"Quevedo: Bzrp Music Sessions, Vol. 52","Quevedo: Bzrp Music Sessions, Vol. 52",Bizarrap,92,161.7,209490.0,88591675.0,78.0,"trap latino, urbano latino, reggaeton, argentine trap"
Magnetic,SUPER REAL ME,ILLIT,93,161.0,11500.0,90584540.0,86.0,k-pop
Lollipop,EVERYBODY GO TO THE DISCOTEK,Darell,94,158.2,37806.0,22826643.0,70.0,"trap latino, urbano latino, reggaeton, dembow"
La Diabla,La Diabla - Single,Xavi,95,155.9,27544.0,47789063.0,83.0,"corridos bélicos, corridos tumbados, corrido, banda, sad sierreño, música mexicana"
Boy's a Liar Pt. 2,Boy's a liar Pt. 2,PinkPantheress,96,153.6,129047.0,50996176.0,70.0,bedroom pop
Snooze,SOS,SZA,97,153.3,108036.0,86470319.0,84.0,r&b
BELLAKEO,BELLAKEO,Peso Pluma,98,153.1,26065.0,79152427.0,86.0,"corridos bélicos, pagode baiano, funk, corridos tumbados, corrido, brazilian pop, banda, sad sierreño, electro corridos, funk carioca, música mexicana, funk pop"
Agora Hills,Scarlet,Doja Cat,99,152.8,66219.0,67521533.0,,"r&b, hip hop, pop"
Prada,Prada,cassï¿,100,152.5,128498.0,160755092.0,83.0,"pop, electronic, synth-pop, hyperpop"
Montagem Rave Eterno,Montagem Rave Eterno,Dj Samir,101,152.3,470.0,2924720.0,,"hypertechno, brazilian phonk, phonk"
Lil Boo Thang,Lil Boo Thang,Paul Russell,102,152.1,37170.0,74130983.0,76.0,"trap, r&b, hip hop"
MONACO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,103,150.7,73306.0,51842133.0,78.0,"trap latino, urbano latino, latin, reggaeton"
Laxed (Siren Beat),Laxed (Siren Beat),Jawsh 685,104,150.5,7240.0,1708319.0,43.0,"melodic dubstep, electronic, tropical house, pop"
(It Goes Like) Nanana - Edit,(It Goes Like) Nanana [Edit],Peggy Gou,105,150.4,163449.0,127827271.0,77.0,"house, electronic, tech house"
Training Season,Training Season,Dua Lipa,106,148.9,16811.0,92985554.0,76.0,pop
Type Shit,WE DON'T TRUST YOU,Future,107,148.1,28064.0,84737651.0,84.0,"rage rap, rap"
Armageddon,Armageddon - The 1st Album,aespa,108,147.4,1262.0,26204483.0,74.0,k-pop
The Box,Please Excuse Me For Being Antisocial,Roddy Ricch,109,146.6,317345.0,87765033.0,78.0,melodic rap
INDUSTRY BABY (feat. Jack Harlow),INDUSTRY BABY (feat. Jack Harlow),Lil Nas X,110,145.3,354831.0,87942438.0,70.0,"trap, pop rap, hip hop, pop"
Pedro,Pedro - Single,Jaxomy,111,144.6,27654.0,159737263.0,85.0,"latin pop, pop"
Fast Car,Gettin' Old,Luke Combs,112,144.5,73116.0,58391498.0,80.0,country
Bling-Bang-Bang-Born,Bling-Bang-Bang-Born,Creepy Nuts,113,144.0,22222.0,13870528.0,80.0,"j-pop, j-rap, anime"
Aesthetic,Aesthetic,Tollan Kim,114,144.0,2311.0,535908.0,44.0,"k-pop, synth-pop, electronic, pop"
Sunflower - Spider-Man: Into the Spider-Verse,Sunflower (Spider-Man: Into the Spider-Verse),Post Malone,116,143.9,392082.0,123917182.0,79.0,"trap, hip hop, pop"
Hands,Hands,Dianï¿½,115,143.9,8.0,212.0,1.0,"synthwave, electropop, synth-pop"
Saturn,Saturn - Single,SZA,117,142.8,21104.0,154253718.0,87.0,r&b
Chegou a Hora de Ir para Cama (Playback),3 Palavrinhas Vol.9 (Playback),3 Palavrinhas,118,142.4,,,,"lullaby, children's music"
Believer,Believer,Imagine Dragons,119,142.2,335880.0,89243475.0,81.0,"alternative rock, arena rock, pop rock"
WAIT FOR U (feat. Drake & Tems),WAIT FOR U (feat. Drake & Tems),Future,120,141.0,183850.0,58397185.0,77.0,"alté, hip hop, afrobeat, rap, afrobeats"
I KNOW ?,UTOPIA,Travis Scott,121,139.5,128534.0,31725858.0,81.0,rap
ANDO,ANDO,Jere Klein,122,139.0,28591.0,30905957.0,72.0,"rkt, mambo, chilean trap, chilean mambo, reggaeton chileno"
First Class,First Class,Jack Harlow,123,138.6,223609.0,49586777.0,71.0,"trap, hip hop, pop"
FE!N,UTOPIA,Travis Scott,124,137.8,129923.0,93969186.0,86.0,"rage rap, rap"
Save Your Tears - Live,After Hours (Live At SoFi Stadium),The Weeknd,125,137.7,545.0,1054122.0,40.0,"r&b, synth-pop, pop"
Losing Interest - Original Mix,Losing Interest (Original),Goovex,126,136.4,5.0,5973.0,1.0,lo-fi
I Ain't Worried,"I Ainï¿½ï¿½ï¿½t Worried (Music From The Motion Pi""Top Gun: Maverick"")",OneRepublic,127,136.2,212406.0,160444270.0,83.0,soft pop
MI EX TENï¿½ï¿½A RA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,128,136.2,23959.0,34805394.0,78.0,"trap latino, reggaeton, trap"
Drained of Color,Drained of Color,Exhumed,129,134.0,635.0,18765.0,16.0,"death metal, grindcore"
Mood (feat. iann dior),Mood (feat. Iann Dior),24kGoldn,130,133.0,302486.0,82611625.0,76.0,melodic rap
Dynamite,Dynamite,BTS,131,132.3,144619.0,51186002.0,74.0,k-pop
Looking Like a Wow End of Year 2023,Looking Like a Wow,WasteLand,132,130.7,3.0,8.0,,"trap, hip hop"
Someone You Loved,Breach,Lewis Capaldi,133,129.7,338763.0,160553919.0,82.0,soft pop
Acrï¿½ï¿½s,Acrï¿½ï¿½stico - Si,Shakira,134,129.6,23091.0,12233221.0,64.0,"reggaeton, melodic rap"
Made You Look,Takin' It Back,Meghan Trainor,135,129.5,74295.0,89509926.0,77.0,"r&b, doo-wop, pop"
PHONK BRASILEIRO FRESCO (Slowed + Reverb),PHONK BRASILEIRO FRESCO,DJ MOIGUS,136,129.4,351.0,43395.0,34.0,"brazilian phonk, phonk"
"Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]","Sooseki (From ""Pushpa 2 The Rule"") [TELUGU]",Shreya Ghoshal,137,129.1,62.0,1433870.0,,"kannada pop, tamil dance, bollywood, tamil pop, hindi pop, sandalwood, marathi pop, desi, telugu pop, kollywood, tollywood"
vampire,vampire,Olivia Rodrigo,138,128.9,90793.0,87801398.0,18.0,"alternative pop, pop"
Casca de Bala,A Cara das Vaquejadas 3.0,Thullio Milionï¿½ï¿,139,128.5,2052.0,30387641.0,74.0,"forró, piseiro, arrocha"
Back,Back,LOLA,140,128.0,92.0,15747.0,3.0,"electronic, synth-pop, pop"
People,People - Single,Libianca,141,127.8,121823.0,45030006.0,74.0,"afrobeats, afrobeat"
Jedag Jedug Capcut 2024,Jedag Jedug Capcut 2024,Afrian Af,142,127.4,1.0,47.0,,funkot
Lady Killers II (Christoph Andersson Remix),Lady Killers II (Christoph Andersson Remix),G-Eazy,143,127.3,10537.0,11716074.0,,"hip hop, alternative hip hop, rap, experimental hip hop"
I Don't Wanna Wait,I Don't Wanna Wait,David Guetta,144,126.9,10564.0,180987712.0,84.0,"soft pop, edm, dance"
Abc,Abc,J Ross,145,126.6,5.0,5100.0,1.0,"smooth jazz, musicals"
La Bachata,La Bachata,Manuel Turizo,146,126.2,156941.0,97122096.0,81.0,"latin, reggaeton, colombian pop"
ýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýý,FLI:P,147,125.4,1972.0,488653.0,44.0,singer-songwriter
Peaches (feat. Daniel Caesar & Giveon),Justice,Justin Bieber,148,125.2,282719.0,97390961.0,74.0,r&b
Don't Start Now,Don't Start Now,Dua Lipa,149,124.6,270230.0,143953432.0,78.0,pop
Lucid Dreams,Lucid Dreams,Juice WRLD,150,123.9,339306.0,75858140.0,78.0,"melodic rap, emo rap"
PROVENZA,PROVENZA,KAROL G,151,123.8,103026.0,64847502.0,76.0,"urbano latino, latin, reggaeton"
WAP (feat. Megan Thee Stallion),WAP (feat. Megan Thee Stallion),Cardi B,152,123.4,171255.0,53040559.0,72.0,"trap, hip hop, rap"
SPOT!,SPOT!,ZICO,153,122.8,3407.0,35428519.0,81.0,"k-pop, k-rap"
Family Matters,Family Matters,Drake,154,122.7,8696.0,36774031.0,86.0,"hip hop, rap"
Again,Missing,Kurochuu,155,122.5,2.0,2190.0,2.0,lo-fi
Seven (feat. Latto) (Explicit Ver.),Seven (feat. Latto),Jung Kook,156,122.4,54950.0,91343768.0,80.0,k-pop
Last Night,3 Songs At A Time Sampler,Morgan Wallen,157,121.9,107189.0,61174155.0,79.0,country
Too Sweet,Unreal Unearth: Unheard,Hozier,158,121.2,22396.0,130752527.0,85.0,"blues, gospel, soul, folk"
Too Sweet,Unreal Unearth: Unheard,Hozier,158,121.2,22396.0,130752527.0,85.0,"blues, gospel, soul, folk"
Bad Habits,#NAME?,Ed Sheeran,159,120.8,271758.0,62218811.0,74.0,soft pop
QLONA,MAï¿½ï¿½ANA SERï¿½ï¿½ BONITO (BICHOTA,KAROL G,160,120.7,56104.0,79334561.0,82.0,"corridos bélicos, urbano latino, corrido, reggaeton, sad sierreño, electro corridos, banda, latin, música mexicana, corridos tumbados"
Leave The Door Open,Leave The Door Open,Bruno Mars,161,120.1,248793.0,50068571.0,75.0,"pop, r&b, funk, soul"
ýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý 3ýýýýýý ýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýý(ýýýýýýýýýýýýýýý),162,119.5,130.0,20518.0,24.0,"rally house, breakcore, lo-fi house"
good 4 u,good 4 u,Olivia Rodrigo,163,117.8,309421.0,72787213.0,79.0,"alternative pop, pop punk, pop"
bad guy,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,164,117.7,296739.0,113315017.0,76.0,"electropop, alternative pop, dark pop"
Seï¿½ï¿½o,Shawn Mendes (Deluxe),Shawn Mendes,165,117.6,251033.0,108433327.0,74.0,"soft rock, pop"
DESPECHï¿,DESPECHï¿,ROSALï¿½,166,116.9,126402.0,88024543.0,73.0,latin
ROCKSTAR (feat. Roddy Ricch),BLAME IT ON BABY,DaBaby,167,116.7,272933.0,50425049.0,70.0,melodic rap
Eyes Closed,Eyes Closed (Piano Version),Ed Sheeran,168,116.6,44730.0,21933393.0,71.0,soft pop
I Remember Everything (feat. Kacey Musgraves),I Remember Everything (feat. Kacey Musgraves),Zach Bryan,169,116.5,70400.0,105320547.0,84.0,"country, red dirt"
Circles,Circles,Post Malone,170,116.0,332437.0,124491320.0,80.0,"trap, hip hop, pop"
EL AMOR DE SU VIDA,EL AMOR DE SU VIDA,Grupo Frontera,171,115.9,24891.0,25915889.0,78.0,"corridos bélicos, sierreño, tejano, grupera, corridos tumbados, corrido, norteño, banda, cumbia norteña, música mexicana"
About Damn Time,About Damn Time,Lizzo,172,115.6,104052.0,47808065.0,66.0,"funk, r&b, pop"
Closer,Closer,The Chainsmokers,173,114.6,285381.0,129399627.0,80.0,"tropical house, electropop, dance-pop"
FLOWER,ME,JISOO,174,114.3,26107.0,15314737.0,70.0,k-pop
PERRO NEGRO,nadie sabe lo que va a pasar maï¿½ï¿,Bad Bunny,175,114.2,61138.0,90492257.0,83.0,"trap latino, urbano latino, latin, reggaeton"
Rich Baby Daddy (feat. Sexyy Red & SZA),For All The Dogs,Drake,176,113.2,68037.0,44498005.0,,"r&b, hip hop, rap"
Havana (feat. Young Thug),Havana,Camila Cabello,177,112.8,194332.0,86159672.0,75.0,"trap, melodic rap, rap"
LUNA,FERXXOCALIPSIS,Feid,178,112.6,40628.0,139802900.0,86.0,"urbano latino, reggaeton"
I Like You (A Happier Song) (with Doja Cat),Twelve Carat Toothache,Post Malone,179,112.5,118965.0,64661540.0,73.0,"r&b, hip hop, pop"
Bones,Bones,Imagine Dragons,180,112.0,180053.0,70861210.0,78.0,"alternative rock, arena rock, pop rock"
Segï¿½ï¿½n Qu,Segï¿½ï¿½n Qu,Maluma,182,111.8,32236.0,42828677.0,79.0,"trap latino, urbano latino, latin, reggaeton"
Selfish,Selfish,Justin Timberlake,181,111.8,8847.0,31258778.0,,"r&b, pop"
golden hour,golden hour,JVKE,183,111.4,200887.0,45885823.0,73.0,"indie pop, bedroom pop, pop"
Levitating (feat. DaBaby),Future Nostalgia,Dua Lipa,184,111.3,255296.0,109442317.0,77.0,pop
Get It Sexyy,Get It Sexyy,Sexyy Red,185,111.1,7377.0,70714216.0,84.0,"trap, hip hop, southern hip hop"
"This Wish - From ""Wish""","This Wish (From ""Wish"")",Ariana DeBose,186,110.9,2673.0,8562091.0,19.0,musicals
IDGAF (feat. Yeat),For All The Dogs,Drake,187,110.8,85930.0,45178662.0,,"rage rap, hip hop, rap"
